T,D,L,Ly,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,
84416,793,,,-1.18,0.64,0.21,-0.09,0.07,0.96,0.19,0.04,-0.61,,5.34,-321.95,*7A
84543,793,,,-1.28,0.52,0.36,-0.09,0.07,0.96,0.19,0.04,-0.61,4.18,5.27,-320.59,*7A
84620,793,GPGGA,190700.1G,-1.24,0.92,0.17,-0.08,0.07,0.96,0.19,0.04,-0.62,4.33,5.03,-321.73,*7A
84677,793,,,-1.32,0.56,0.29,-0.09,0.07,0.96,0.19,0.04,-0.61,4.29,5.32,-321.9,*7A
84734,793,,,-1.2,0.64,0.17,-0.09,0.07,0.96,0.19,0.04,-0.61,4.14,5.34,-321.77,*7A
84791,793,,,-1.07,0.45,0.04,-0.09,0.07,0.96,0.19,0.03,-0.61,4.27,5.44,-324.23,*7A
84848,793,,,-1.27,0.52,0.37,-0.09,0.07,0.96,0.2,0.03,-0.61,4.16,5.3,-323.45,*7A
84904,793,,,,0.52,0.37,-0.09,0.07,0.96,0.19,0.03,-0.62,4.3,5.29,-324.1,*7A
84904,793,,,-1.1,0.74,0.29,-0.09,0.07,0.96,0.19,0.03,-0.62,4.26,5.36,-322.22,*7A
85019,793,,,-1.07,0.58,0.04,-0.09,0.07,0.96,0.19,0.04,-0.61,4.23,5.38,-322.22,*7A
85075,793,,,-1.31,0.74,0.31,-0.09,0.07,0.96,0.19,0.03,-0.62,4.34,5.32,-323.83,*7A
85133,793,,,-1.09,0.63,0.27,-0.09,0.07,0.96,0.19,0.03,-0.62,4.17,5.36,-324.53,*7A
85189,793,,,-1.3,0.45,0.31,-0.09,0.07,0.96,0.2,0.03,-0.62,4.27,5.38,-324.26,*7A
85246,793,,,-1.09,0.65,0.43,-0.09,0.07,0.96,0.2,0.04,-0.62,4.26,5.37,-321.68,*7A
85303,793,,,-1.07,0.53,0.32,-0.09,0.07,0.96,0.2,0.04,-0.61,4.13,5.34,-321.44,*7A
85360,793,,,-0.93,0.68,0.25,-0.09,0.07,0.96,0.19,0.04,-0.62,4.32,5.41,-320.76,*7A
